English,Spanish
explain,explicar
expect,suponer
fight,lucha
exactly,exactamente
sort,clasificar
completely,completamente
men,hombres
dance,baile
met,reunió
story,historia
whatever,lo que
build,construir
speak,hablar
glass,vidrio
pain,dolor
check,cheque
glare,destello
corner,esquina
Mrs.,Señora.
chest,pecho
hot,caliente
rather,bastante
month,mes
real,verdadero
touch,tocar
park,parque
bring,traer
they're,ellos son
drink,beber
ago,atrás
force,fuerza
you've,tienes
fast,rápido
lost,perdió
attention,atención
wish,deseo
mark,Marcos
wave,onda
shout,gritar
fill,llenar
begin,empezar
baby,bebé
interest,interesar
money,dinero
fun,divertida
green,verde
however,sin emabargo
cheek,mejilla
mine,mía
clear,claro
brown,marrón
forward,hacia adelante
near,cerca
picture,imagen
may,mayo
cool,frio
drive,manejar
hug,abrazo
shake,agitar
sense,sentido
alright,bien
you'll,Vas
dream,sueño
hang,colgar
clothes,ropa
act,actuar
become,volverse
manage,gestionar
meant,quiso decir
game,juego
ignore,ignorar
stair,escalera
taken,tomado
party,fiesta
add,agregar
sometimes,algunas veces
job,trabajo
ten,diez
shot,Disparo
date,fecha
quiet,tranquilo
gaze,mirada
group,grupo
loud,fuerte
straight,derecho
dead,muerto
neck,cuello
beside,junto a
pause,pausa
number,número
conversation,conversacion
chance,oportunidad
we'll,bien
rose,Rosa
quietly,en silencio
town,pueblo
blood,sangre
color,color
desk,escritorio
dinner,cena
hall,sala
horse,caballo
music,música
brought,trajo
piece,trozo
anymore,nunca más
beautiful,hermosa
order,pedido
fire,fuego
office,oficina
TRUE,CIERTO
although,aunque
warm,cálido
easy,fácil
enter,ingresar
perfect,Perfecto
mutter,murmurar
softly,suavemente
cross,cruzar
shock,choque
smirk,sonrisa afectada
damn,maldita sea
soft,suave
stomach,estómago
snap,quebrar
spoke,habló
tire,neumático
box,caja
catch,captura
skin,piel
teacher,profesor
middle,medio
note,Nota
yourself,tú mismo
haven't,no tiene
lunch,comida
tomorrow,mañana
breathe,respirar
clean,limpio
except,excepto
appear,aparecer
lock,cerrar con llave
knock,golpear
bathroom,baño
movie,película
agree,estar de acuerdo
offer,oferta
kick,patear
form,formulario
confuse,confundir
lay,poner
less,menos
calm,tranquilo
slip,deslizar
weren't,no eran
sign,firmar
dog,perro
lift,elevar
immediately,inmediatamente
arrive,llegar
deal,negociar
tonight,esta noche
usually,por lo general
case,caso
frown,fruncir el ceño
shop,tienda
scare,susto
promise,promesa
mum,mamá
couch,sofá
pay,pagar
state,Expresar
shit,mierda
wrap,envoltura
pocket,bolsillo
hello,Hola
free,libre
huge,enorme
ride,montar
bother,molestar
land,tierra
known,conocido
especially,especialmente
expression,expresión
carry,llevar
ring,anillo
spot,lugar
allow,permitir
several,varios
aren't,no son
during,durante
empty,vacío
lady,dama
eyebrow,ceja
strange,extraño
coffee,café
road,camino
threw,tiró
wide,amplio
bus,autobús
forget,olvidar
gotten,conseguido
smell,oler
fear,temor
press,prensa
boyfriend,novio
blonde,Rubio
throw,lanzar
round,redondo
sun,sol
tall,alto
glad,contento
age,edad
write,escribir
upon,sobre
hide,esconder
became,convirtió
crowd,multitud
rain,lluvia
save,ahorrar
trouble,problema
annoy,molestar
nose,nariz
weird,extraño
death,muerte
beat,golpear
tone,tono
trip,viaje
six,seis
control,control
nearly,por poco
consider,considerar
gonna,ir a
join,entrar
learn,aprender
above,sobre
hi,Hola
obviously,obviamente
entire,completo
direction,dirección
foot,pie
angry,enfadado
power,energía
strong,fuerte
quick,rápido
doctor,médico
edge,borde
song,canción
asleep,dormido
twenty,veinte
barely,apenas
remain,permanecer
child,niño
enjoy,disfrutar
gun,pistola
slow,lento
city,ciudad
broke,rompió
key,clave
lead,dirigir
throat,garganta
normal,normal
you'd,que había
somewhere,en algún lugar
wake,despertarse
pair,par
sky,cielo
funny,gracioso
business,negocio
student,estudiante
giggle,risilla
bright,brillante
admit,admitir
jeans,vaqueros
given,dado
children,niños
store,Tienda
sweet,dulce
low,bajo
climb,escalada
rub,frotar
apartment,Departamento
knee,rodilla
shoe,zapato
attack,ataque
bedroom,Cuarto
joke,broma
spent,gastado
situation,situación
stuck,atascado
gently,suavemente
possible,posible
cell,célula
mention,mencionar
silent,silencio
definitely,definitivamente
rush,prisa
hung,colgado
brush,cepillo
perhaps,quizás
groan,gemido
ass,culo
rock,Roca
card,tarjeta
lose,perder
blush,sonrojo
besides,además
crazy,loco
type,tipo
bore,aburrir
afraid,temeroso
chase,perseguir
respond,responder
marry,casar
remind,recordar
pack,paquete
daughter,hija
serious,grave
girlfriend,Novia
mad,enojado
somehow,de algun modo
buy,comprar
sent,enviado
tight,apretado
simply,simplemente
trust,confianza
imagine,imagina
wind,viento
chuckle,risita
bar,bar
pink,Rosa
shove,empujón
ball,bola
sight,visión
drag,arrastrar
they'd,Habían
human,humano
truth,verdad
share,Cuota
area,área
concern,preocupación
shouldn't,no debería
team,equipo
escape,escapar
mumble,mascullar
often,a menudo
search,buscar
apparently,aparentemente
attempt,intento
son,hijo
within,dentro
band,banda
cute,linda
led,dirigió
memory,memoria
anger,ira
fly,volar
paint,pintura
bottle,botella
busy,ocupado
comment,comentario
exclaim,exclamar
avoid,evitar
grow,crecer
grey,gris
mirror,espejo
gasp,jadear
hallway,Vestíbulo
dear,querido
star,estrella
sick,enfermo
cat,gato
counter,encimera
interrupt,interrumpir
none,ninguno
blink,parpadear
spend,gastar
usual,usual
worse,peor
locker,armario
important,importante
favorite,favorito
grip,sujeción
TV,televisor
ice,hielo
pretend,fingir
settle,resolver
amaze,asombro
pop,música pop
disappear,desaparecer
carefully,con cuidado
train,entrenar
stick,palo
guard,Guardia
teeth,dientes
flash,destello
uncle,tío
send,enviar
doubt,duda
visit,visita
nervous,nervioso
excite,excitar
approach,Acercarse
excuse,excusa
fit,encajar
noise,ruido
study,estudio
letter,letra
police,policía
eventually,finalmente
burn,quemar
field,campo
hospital,hospital
tie,Corbata
summer,verano
huh,eh
shift,cambiar
self,uno mismo
hurry,apurarse
greet,saludar
wife,esposa
position,posición
we've,hemos
wipe,limpiar
heavy,pesado
slam,golpe
broken,roto
complete,completo
space,espacio
brain,cerebro
tiny,diminuto
pants,pantalones
ah,ah
punch,puñetazo
shower,ducha
tongue,lengua
afternoon,tarde
seriously,en serio
cup,taza
further,más
race,raza
recognize,reconocer
computer,ordenador
rang,sonó
safe,a salvo
jacket,chaqueta
bottom,fondo
hundred,centenar
relax,relajarse
sudden,repentino
wow,Guau
college,Universidad
flip,dar la vuelta
mood,estado animico
track,pista
crack,grieta
block,cuadra
handle,resolver
themselves,ellos mismos
drove,condujo
seven,Siete
struggle,lucha
whether,ya sea
ahead,adelante
sad,triste
dry,seco
women,mujeres
focus,enfocar
repeat,repetir
thick,grueso
relationship,relación
jerk,imbécil
present,regalo
suck,chupar
bell,campana
surround,rodear
evening,noche
bite,morder
single,único
fault,culpa
shadow,sombra
wood,madera
easily,fácilmente
woke,despertó
smoke,humo
draw,dibujar
suggest,sugerir
wet,mojado
accept,aceptar
third,tercera
totally,totalmente
wore,vistió
breakfast,desayuno
trail,sendero
animal,animal
warn,advertir
aunt,tía
sir,señor
piss,orinar
burst,ráfaga
match,partido
fix,reparar
practically,prácticamente
odd,impar
wash,lavar
sing,cantar
inch,pulgada
size,Talla
secret,secreto
who's,quién está
clock,reloj
company,empresa
view,vista
suit,traje
forever,para siempre
familiar,familiar
forehead,frente
shoot,disparo
grew,creció
stretch,estirarse
pound,libra
despite,A pesar de
response,respuesta
center,centrar
curl,rizo
slight,leve
toss,sacudida
beneath,bajo
fist,puño
welcome,bienvenidos
laughter,la risa
angel,Ángel
Christmas,Navidad
we'd,casarse
main,principal
simple,sencillo
neither,ninguno de los dos
distance,distancia
comfort,comodidad
upset,disgustado
assume,asumir
eight,ocho
gather,recolectar
lucky,afortunado
fade,desvanecerse
Ms.,Milisegundo.
coat,Saco
special,especial
awkward,incómodo
certain,cierto
plate,lámina
darkness,oscuridad
practice,práctica
obvious,obvio
grade,calificación
cream,crema
choice,elección
hardly,difícilmente
pale,pálido
thin,delgada
button,botón
chocolate,chocolate
refuse,negar
slid,deslizado
pillow,almohada
thirty,treinta
count,contar
honestly,honestamente
poor,pobre
motion,movimiento
storm,tormenta
lightly,ligeramente
nobody,nadie
experience,experiencia
path,camino
period,período
dare,atrevimiento
demand,demanda
comfortable,cómodo
clearly,claramente
silver,plata
peer,mirar
birthday,cumpleaños
disgust,asco
embarrass,avergonzar
bought,compró
test,prueba
lap,vuelta
bet,apuesta
loudly,fuerte
driver,conductor
murmur,murmullo
taste,sabor
perfectly,perfectamente
squeeze,estrujar
board,Junta
worth,valer
fold,pliegue
spread,propagar
crap,tonterías
emotion,emoción
subject,sujeto
pour,verter
laid,establecido
lower,más bajo